ticker,entry,notional,n_ins,csuite,ex20,ex60
DUOL,2022-04-20,4049549.8,1,0,0.006947120495302661,0.20870987792246287
DUOL,2022-04-22,1547382.0000000002,1,0,-0.025468773540206935,0.22455965484188634
DUOL,2022-05-11,6609026.4,1,0,0.5040644418174656,0.4684659452577975
DUOL,2022-12-15,2579888.3800000004,1,0,0.10468787765134535,0.6767913887467135
DUOL,2022-12-19,7664095.56,1,0,0.12606698331666744,0.7282089831529333
DUOL,2022-12-21,8779575.9,1,0,0.14293239255141565,0.7724027764128252
DUOL,2022-12-23,5561015.4,1,0,0.16831543539300764,0.8845206090765434
DUOL,2022-12-28,2414819.5300000003,1,0,0.3458665941407011,1.0366770027754535
DUOL,2022-12-30,335600.0,1,0,0.27958420521446725,0.8764371988858466
DUOL,2026-03-04,498792.0,1,0,0.04383472202770089,0.05380864449959888
EME,2020-03-13,58520.0,1,0,-0.05472613131796866,-0.07639336454308276
EME,2024-05-21,603.4976,1,0,-0.03543534785692426,-0.09895553249268318
EQIX,2020-04-06,3161100.0,1,0,-0.028142814080374112,-0.055944524675976215
ETN,2019-05-14,129983.70000000001,1,0,-0.02367205635387648,-0.028355217374441244
ETN,2019-05-21,49817.86,1,0,-0.02248595581725321,-0.04368325517238292
ETN,2020-03-11,437530.0,2,0,-0.048933505131720345,-0.03285593178002233
ETN,2020-05-19,46266.0,1,0,0.09630272252177186,0.17501532976608947
ETN,2021-08-13,167340.0,1,0,-0.057261019176981454,-0.015209345386156592
ETN,2022-02-09,36834.790499999996,1,0,0.014922145566784728,0.04002482597785728
ETN,2024-08-27,149485.0,1,0,0.094752940386168,0.1661118504994592
ETN,2024-09-05,662161.5,1,0,0.11120452833387962,0.21762087401580876
ETN,2025-08-12,36100.0,1,0,-0.017702913611745807,0.006653922698128811
ETN,2025-11-04,38433.5,1,0,-0.12440085626451591,-0.07826649771077265
ETN,2025-11-19,67978.0,1,0,-0.10681153627220641,0.06477116044549791
ETN,2026-05-12,390197.49079999997,1,0,-0.047654445512475774,
FIG,2025-08-05,10312500.0,4,0,-0.1635800394280551,-0.45210844460648536
FIG,2026-02-24,36537073.3205,1,0,-0.15298511157612837,-0.2552308168068539
FIVN,2025-08-14,24150.0,1,0,0.008524746110516901,-0.25116362402640724
FSLY,2020-03-12,17019911.220000003,1,0,0.4578707877827304,2.3153124071557842
FSLY,2020-03-17,1462641.12,1,0,0.5097702216117899,2.170115701213853
FSLY,2020-03-23,702730.4299999999,1,0,0.007255152057767056,1.8418188857520539
FSLY,2020-04-02,5818961.159999999,1,0,0.069857705309049,3.120649697400623
FSLY,2020-05-26,24900000.0,1,0,0.8874400871908144,0.8907581060848109
FSLY,2021-03-10,32706161.59,1,0,-0.052095223788860445,-0.3990063862561605
FSLY,2021-05-10,22143535.48,1,0,0.32073842498386074,0.004608106163802139
FSLY,2022-06-23,63750.0,1,0,-0.13516433700738462,-0.290988025197916
FTNT,2020-08-11,19003.02,1,0,-0.09589103763588702,-0.11403164725461368
FTNT,2023-04-13,28509.2694,1,0,-0.00977273457140837,0.07508275223145833
FTNT,2023-09-08,34928.352,1,0,-0.02874862638875597,-0.20955754492576528
FTNT,2023-12-06,34943.0,1,0,0.09666459156148055,0.21677748423022192
FTNT,2024-03-06,34939.050299999995,1,0,-0.035817539472160376,-0.20282171244578162
FTNT,2024-06-06,34897.5306,1,0,-0.03254146106539069,0.2582972074537806
FTNT,2024-09-09,34966.62,1,0,-0.007455349944149203,0.1636092099134625
FTNT,2024-12-06,34967.5,1,0,-0.001505269493794148,0.0733318860232407
FTNT,2025-03-06,34877.88,1,0,-0.05784705540648538,-0.027548506832453024
FTNT,2025-06-06,34912.025,1,0,-0.010607987960432164,-0.344689697186767
GLW,2021-05-19,60003.11,1,0,-0.11664491617980499,-0.15201530586281897
GLW,2021-06-04,59925.0,1,0,-0.07722322721542663,-0.1472847413031928
GLW,2021-06-14,59838.8,1,0,-0.045757495672633985,-0.12013273273710678
GLW,2022-03-14,3983.23,1,0,-0.12511039718349592,0.003090405885730396
GM,2019-05-09,385800.0,1,0,-0.05906825735182675,0.04795936254616173
GM,2020-02-28,49983.22000000001,1,0,-0.1544136796101785,-0.1111580102988845
GM,2020-03-27,514528.0,1,1,-0.0826578283727808,-0.003572087998943596
GM,2020-05-14,294386.0,1,0,0.1857337849634384,0.07658357237097513
GM,2020-06-02,241800.0,1,1,-0.0778880595127267,-0.05266110869585616
GM,2022-02-14,303660.0,1,0,-0.10027571740363872,-0.1245648459698554
GM,2022-05-02,1357650.0,1,1,0.009721420093273592,-0.050190659880843924
GM,2022-05-16,352299.99999999994,1,0,-0.03958603923281678,-0.013081126827326539
GM,2022-12-20,0.0,1,0,-0.036049773169228416,-0.07957391290845084
GM,2023-05-22,1010600.0,1,1,0.08772988529092385,-0.03996112499685167
GM,2024-07-29,1102750.0,1,1,0.07476445828753175,0.14620407819100878
GM,2025-01-30,607920.0,1,0,0.010474479022674288,0.04390776066896651
GME,2019-09-20,24255.0,1,0,0.264869079174501,0.09907155635573028
