ticker,etf
MTG,XLF
MTH,XLI
MTN,XLY
MTRN,XLI
MTSI,XLK
MTZ,XLI
MU,XLK
MUFG,XLF
MUR,XLE
MUSA,XLY
MWA,XLI
MXL,XLK
MYRG,XLI
MZTI,XLP
NAMS,XLV
NATL,XLK
NBIS,XLK
NBIX,XLV
NCLH,XLI
NCNO,XLK
NDAQ,XLF
NDSN,XLI
NE,XLE
NEE,XLU
NEM,XLB
NEO,XLV
NESR,XLE
NET,XLK
NEU,XLB
NFG,XLU
NFLX,XLY
NG,XLB
NGG,XLU
NHC,XLV
NHI,XLRE
NI,XLU
NIC,XLF
NICE,XLK
NJR,XLU
NKE,XLY
NKTR,XLV
NLY,XLRE
NN,XLK
NNE,XLU
NNN,XLRE
NOC,XLK
NOG,XLE
NOK,XLY
NOV,XLI
NOVT,XLK
NOW,XLK
NPO,XLB
NRG,XLU
NRIX,XLV
NSC,XLI
NSIT,XLY
NSP,XLI
NTAP,XLK
NTES,XLK
NTLA,XLV
NTNX,XLK
NTR,XLB
NTRA,XLV
NTRS,XLF
NTST,XLRE
NU,XLF
NUE,XLB
NUVB,XLV
NVAX,XLV
NVCR,XLV
NVDA,XLK
NVMI,XLK
NVO,XLV
NVR,XLI
NVS,XLV
NVST,XLV
NVT,XLI
NVTS,XLK
NWE,XLU
NWG,XLF
NWL,XLB
NWS,XLC
NWSA,XLC
NXE,XLB
NXPI,XLK
NXST,XLC
NXT,XLK
NYT,XLC
O,XLRE
OC,XLB
ODFL,XLI
OGE,XLU
OGN,XLV
OGS,XLU
OHI,XLRE
OI,XLB
OII,XLE
OKE,XLU
OKLO,XLU
OKTA,XLK
OLED,XLK
OLLI,XLY
OLN,XLB
OMC,XLI
OMCL,XLK
OMDA,XLV
OMF,XLF
ON,XLK
ONB,XLF
ONC,XLV
ONDS,XLY
ONON,XLY
ONTO,XLK
OPCH,XLV
OR,XLB
ORA,XLU
ORC,XLRE
ORCL,XLK
ORI,XLF
ORIC,XLV
ORKA,XLV
ORLY,XLY
OSCR,XLV
OSIS,XLK
OSK,XLY
OTEX,XLK
OTIS,XLI
OUST,XLI
OUT,XLRE
OVV,XLE
OWL,XLF
OXY,XLE
P,XLK
PAA,XLE
PAAS,XLB
PAC,XLI
PACS,XLV
PAG,XLY
PAGP,XLE
PAGS,XLK
PANW,XLK
PARR,XLE
PATH,XLK
PATK,XLY
PAY,XLI
PAYC,XLK
PAYO,XLI
PAYX,XLI
PB,XLF
PBA,XLE
PBF,XLE
PBH,XLV
PBI,XLK
PBR,XLE
PCAR,XLY
PCG,XLU
PCOR,XLK
PCT,XLB
PCTY,XLK
PCVX,XLV
PDD,XLI
PDFS,XLK
PEB,XLRE
PECO,XLRE
PEG,XLU
PEGA,XLK
PEN,XLV
PENG,XLK
PENN,XLY
PEP,XLP
PFE,XLV
PFG,XLF
PFGC,XLI
PFSI,XLF
PG,XLP
PGEN,XLV
PGNY,XLV
PGR,XLF
PGY,XLF
PH,XLI
PHG,XLV
PHIN,XLY
PHM,XLI
PI,XLK
PII,XLI
PINS,XLK
PIPR,XLF
PJT,XLF
PK,XLY
PKG,XLB
PL,XLY
PLAB,XLK
PLD,XLRE
PLMR,XLF
PLNT,XLY
PLPC,XLI
PLTR,XLK
PLXS,XLK
PM,XLP
PNC,XLF
PNFP,XLF
PNR,XLI
PNW,XLU
PODD,XLV
POET,XLK
PONY,XLK
POOL,XLI
POR,XLU
POST,XLP
POWI,XLK
POWL,XLI
PPC,XLP
PPG,XLB
PPL,XLU
PPTA,XLB
PR,XLE
PRAX,XLV
PRCT,XLV
PRGO,XLV
PRI,XLF
PRIM,XLI
PRKS,XLY
PRM,XLB
PRMB,XLP
PRU,XLF
PRVA,XLV
PSA,XLRE
PSKY,XLC
PSMT,XLY
PSN,XLK
PSNL,XLV
PSX,XLE
PTC,XLK
PTCT,XLV
PTEN,XLE
PTGX,XLV
PTON,XLY
PUBM,XLK
PUK,XLF
PUMP,XLE
PVH,XLY
PVLA,XLV
PWR,XLI
PYPL,XLI
PZZA,XLY
Q,XLK
QBTS,XLK
QCOM,XLY
QGEN,XLV
QLYS,XLK
QRVO,XLK
QS,XLK
QSR,XLY
QTWO,XLK
QUBT,XLK
QURE,XLV
QXO,XLI
R,XLY
RACE,XLY
RAL,XLK
RAMP,XLK
RARE,XLV
RBA,XLI
RBC,XLI
RBLX,XLK
RBRK,XLK
RCAT,XLK
RCI,XLC
RCL,XLI
RCUS,XLV
RDDT,XLK
RDN,XLF
RDNT,XLV
RDW,XLI
RDY,XLV
REAL,XLP
REG,XLRE
REGN,XLV
RELX,XLI
RELY,XLI
REPL,XLV
REXR,XLRE
REYN,XLB
REZI,XLI
RF,XLF
RGA,XLF
RGEN,XLV
RGLD,XLF
RGTI,XLK
RH,XLY
RHI,XLI
RHP,XLRE
RIG,XLE
RIO,XLB
RIOT,XLF
RITM,XLRE
RIVN,XLY
RJF,XLF
RKLB,XLI
RKT,XLF
RL,XLY
RLAY,XLV
RLI,XLF
RMBS,XLK
RMD,XLV
RNG,XLK
RNR,XLF
RNST,XLF
ROAD,XLI
ROG,XLB
ROIV,XLV
ROK,XLK
ROKU,XLC
ROL,XLI
ROP,XLK
ROST,XLY
RPM,XLB
RPRX,XLV
