n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
1511,378,63,0.4603,0.5231,0.6846,0.2472,0.4286,0.4386,57,,0,,0,ALK,1,22,1889,1890
1561,391,63,0.5556,0.4697,0.6838,0.2468,0.5714,0.5741,54,,0,,0,ALK,1,23,1952,1953
1612,403,63,0.5079,0.5551,0.6905,0.2489,0.4127,0.4468,47,,0,,0,ALK,1,24,2015,2016
402,101,63,0.5714,0.5,0.6831,0.245,0.5714,0.5714,63,0.5714,63,,0,AMD,1,0,503,504
452,114,63,0.4762,0.5146,0.9285,0.2615,0.4762,0.4754,61,0.4754,61,1.0,1,AMD,1,1,566,567
503,126,63,0.5556,0.5716,1.139,0.2604,0.4921,0.5455,33,0.5806,31,0.5882,17,AMD,1,2,629,630
553,139,63,0.4286,0.4854,1.6081,0.2801,0.4762,0.425,40,0.6,10,0.6,10,AMD,1,3,692,693
604,151,63,0.4444,0.4807,0.7447,0.2735,0.4603,0.4318,44,0.4483,29,0.4483,29,AMD,1,4,755,756
654,164,63,0.4603,0.4787,0.7174,0.2618,0.5873,0.5714,21,0.6667,6,0.6667,6,AMD,1,5,818,819
704,177,63,0.4762,0.5091,0.6965,0.2516,0.4921,0.4615,26,0.5,2,0.5,2,AMD,1,6,881,882
755,189,63,0.4921,0.5449,0.6857,0.2462,0.4444,0.4667,60,0.5,2,0.5,2,AMD,1,7,944,945
805,202,63,0.5397,0.5363,0.6896,0.2482,0.4921,0.5833,12,,0,,0,AMD,1,8,1007,1008
856,214,63,0.5397,0.4793,0.6933,0.25,0.4921,0.5172,58,0.4545,11,0.4,10,AMD,1,9,1070,1071
906,227,63,0.3968,0.5246,0.9212,0.2579,0.381,0.3793,58,0.4,5,0.6667,3,AMD,1,10,1133,1134
956,240,63,0.4762,0.4653,1.1679,0.2711,0.5556,0.5294,34,,0,,0,AMD,1,11,1196,1197
1007,252,63,0.4127,0.4156,0.7008,0.2538,0.4286,0.3611,36,,0,,0,AMD,1,12,1259,1260
1057,265,63,0.4444,0.5253,1.181,0.2772,0.6032,0.8,5,,0,,0,AMD,1,13,1322,1323
1108,277,63,0.4762,0.498,0.6993,0.2529,0.4762,0.4754,61,,0,,0,AMD,1,14,1385,1386
1158,290,63,0.3968,0.4704,0.7066,0.2564,0.5873,0.4444,9,,0,,0,AMD,1,15,1448,1449
1208,303,63,0.4603,0.4625,0.7,0.2534,0.4603,0.4603,63,,0,,0,AMD,1,16,1511,1512
1259,315,63,0.4444,0.4782,0.7118,0.2592,0.4127,0.3902,41,0.4103,39,0.0,1,AMD,1,17,1574,1575
1309,328,63,0.5397,0.497,0.692,0.2494,0.5397,0.5397,63,,0,,0,AMD,1,18,1637,1638
1360,340,63,0.3651,0.4257,0.7074,0.257,0.4127,0.3793,58,0.3333,3,0.3333,3,AMD,1,19,1700,1701
1410,353,63,0.4762,0.4924,0.698,0.2524,0.5397,0.5238,21,0.5238,21,,0,AMD,1,20,1763,1764
1460,366,63,0.3968,0.5011,0.6951,0.2511,0.619,1.0,1,1.0,1,,0,AMD,1,21,1826,1827
1511,378,63,0.5079,0.4783,0.7486,0.2737,0.5238,0.5312,32,0.2857,7,0.2857,7,AMD,1,22,1889,1890
1561,391,63,0.3968,0.3936,0.7073,0.2571,0.4921,0.434,53,,0,,0,AMD,1,23,1952,1953
1612,403,63,0.5238,0.4674,0.7015,0.2542,0.6032,0.5741,54,,0,,0,AMD,1,24,2015,2016
402,101,63,0.5079,0.5827,4.821,0.3851,0.4921,,0,,0,,0,AMPX,1,0,503,504
452,114,63,0.6349,0.4467,0.6896,0.2474,0.3651,0.5,4,0.5,4,,0,AMPX,1,1,566,567
503,126,63,0.4444,0.5761,0.7204,0.2637,0.5714,0.6667,3,1.0,2,1.0,2,AMPX,1,2,629,630
553,139,63,0.5079,0.4693,0.941,0.2649,0.4921,,0,,0,,0,AMPX,1,3,692,693
604,151,63,0.4603,0.5061,0.6942,0.2516,0.4603,0.4603,63,0.5,4,0.5,4,AMPX,1,4,755,756
654,164,63,0.4286,0.4511,0.695,0.2509,0.6032,0.5417,24,0.5417,24,,0,AMPX,1,5,818,819
402,101,63,0.4921,0.5218,0.8705,0.3248,0.5397,1.0,2,,0,,0,AMZN,1,0,503,504
452,114,63,0.4127,0.4673,3.4622,0.4766,0.6508,0.5909,22,1.0,1,,0,AMZN,1,1,566,567
503,126,63,0.619,0.6788,0.6083,0.2156,0.5238,0.5789,57,0.75,16,0.75,16,AMZN,1,2,629,630
553,139,63,0.5397,0.4702,1.2351,0.2973,0.5238,0.5345,58,0.4444,18,0.4444,18,AMZN,1,3,692,693
604,151,63,0.5397,0.4648,0.7478,0.2702,0.5556,0.5577,52,0.5172,29,0.25,4,AMZN,1,4,755,756
654,164,63,0.4762,0.4017,0.7219,0.2642,0.5079,0.4918,61,0.4074,27,0.5,2,AMZN,1,5,818,819
704,177,63,0.5079,0.4859,0.6686,0.2435,0.5079,0.5111,45,0.5,16,0.5333,15,AMZN,1,6,881,882
755,189,63,0.5556,0.5291,1.1807,0.2761,0.4127,0.4737,38,0.2857,14,0.375,8,AMZN,1,7,944,945
805,202,63,0.5079,0.5424,0.6934,0.2501,0.4762,0.4898,49,,0,,0,AMZN,1,8,1007,1008
856,214,63,0.5079,0.4738,0.7052,0.2557,0.5714,0.5532,47,0.0,1,0.0,1,AMZN,1,9,1070,1071
906,227,63,0.4286,0.518,0.6702,0.2394,0.4286,0.4118,51,1.0,4,1.0,4,AMZN,1,10,1133,1134
956,240,63,0.5873,0.5874,0.9317,0.2575,0.4762,0.6,20,0.5556,9,0.5556,9,AMZN,1,11,1196,1197
1007,252,63,0.4921,0.4859,0.7039,0.2552,0.4921,0.4286,7,0.4286,7,0.4286,7,AMZN,1,12,1259,1260
1057,265,63,0.4921,0.6095,0.7074,0.2569,0.6032,0.7143,14,1.0,1,1.0,1,AMZN,1,13,1322,1323
1108,277,63,0.3651,0.3473,0.7468,0.2758,0.5079,0.1667,12,,0,,0,AMZN,1,14,1385,1386
1158,290,63,0.4762,0.4883,0.701,0.2539,0.5556,0.5714,14,,0,,0,AMZN,1,15,1448,1449
1208,303,63,0.4603,0.4657,0.6915,0.2493,0.5238,0.4865,37,1.0,1,1.0,1,AMZN,1,16,1511,1512
1259,315,63,0.4603,0.5316,0.6906,0.2495,0.4444,0.4516,62,,0,,0,AMZN,1,17,1574,1575
1309,328,63,0.5873,0.5,0.9228,0.256,0.6032,0.5968,62,1.0,2,1.0,2,AMZN,1,18,1637,1638
1360,340,63,0.5238,0.5,0.692,0.2494,0.5238,0.5238,63,,0,,0,AMZN,1,19,1700,1701
1410,353,63,0.4603,0.6019,0.693,0.2499,0.4127,0.431,58,,0,,0,AMZN,1,20,1763,1764
1460,366,63,0.5556,0.4657,0.6915,0.2492,0.5873,0.5738,61,1.0,1,1.0,1,AMZN,1,21,1826,1827
1511,378,63,0.5714,0.527,0.6877,0.2473,0.5556,0.5714,56,,0,,0,AMZN,1,22,1889,1890
1561,391,63,0.5873,0.6035,0.6821,0.2443,0.5238,0.6129,31,0.6129,31,,0,AMZN,1,23,1952,1953
1612,403,63,0.4921,0.3289,0.7262,0.266,0.6032,0.5577,52,0.4688,32,0.5,10,AMZN,1,24,2015,2016
402,101,63,0.4762,0.4393,0.9709,0.2789,0.4444,0.4074,27,0.0,6,0.0,6,APLD,1,0,503,504
452,114,63,0.4286,0.4704,0.9545,0.2723,0.5556,0.4286,7,,0,,0,APLD,1,1,566,567
503,126,63,0.5397,0.5525,0.9195,0.2556,0.4762,0.5098,51,,0,,0,APLD,1,2,629,630
553,139,63,0.6032,0.5938,0.6728,0.2401,0.4921,0.5682,44,,0,,0,APLD,1,3,692,693
604,151,63,0.619,0.5828,0.7275,0.256,0.5714,0.6364,44,,0,,0,APLD,1,4,755,756
654,164,63,0.3968,0.4655,0.7012,0.2555,0.4286,0.383,47,1.0,1,1.0,1,APLD,1,5,818,819
704,177,63,0.4127,0.395,0.7427,0.2739,0.5873,0.5,36,1.0,1,1.0,1,APLD,1,6,881,882
755,189,63,0.4603,0.4528,0.7113,0.2589,0.4603,0.4561,57,0.0,3,0.0,3,APLD,1,7,944,945
805,202,63,0.5397,0.5525,1.1411,0.26,0.4762,0.5098,51,,0,,0,APLD,1,8,1007,1008
402,101,63,0.4286,0.5823,1.0259,0.302,0.381,0.3846,52,0.3846,52,0.4615,39,ARM,1,0,503,504
452,114,63,0.4921,0.476,0.7062,0.2564,0.5556,0.5789,19,0.5789,19,,0,ARM,1,1,566,567
402,101,63,0.4127,0.4051,1.4297,0.2951,0.4444,0.3846,39,0.3125,16,0.3125,16,ASAN,1,0,503,504
452,114,63,0.5714,0.5756,0.9182,0.253,0.4603,0.75,4,0.75,4,0.75,4,ASAN,1,1,566,567
