CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/19/2015,H (Mar 16),18.06,18.29,17.95,18.25,18.2250,0.15,1332,0,4576
08/20/2015,H (Mar 16),18.24,18.70,18.18,18.70,18.6750,0.45,1671,0,4903
08/21/2015,H (Mar 16),18.70,19.17,18.53,19.17,19.1750,0.50,5830,0,6368
08/24/2015,H (Mar 16),19.10,21.55,19.04,20.66,20.6750,1.50,6312,0,7116
08/25/2015,H (Mar 16),20.75,21.25,19.65,20.83,20.8500,0.18,6579,0,9042
08/26/2015,H (Mar 16),20.75,21.29,20.18,20.25,20.2250,-0.62,2368,0,9592
08/27/2015,H (Mar 16),20.10,20.88,19.69,20.45,20.4500,0.22,4045,0,10270
08/28/2015,H (Mar 16),20.25,21.80,19.89,21.22,21.2750,0.82,2825,0,10720
08/31/2015,H (Mar 16),21.80,22.30,21.40,22.30,22.2750,1.00,2769,0,11422
09/01/2015,H (Mar 16),22.23,24.31,22.20,23.88,23.8750,1.60,4058,0,12188
09/02/2015,H (Mar 16),23.84,23.96,22.91,22.95,22.9750,-0.90,3789,0,13076
09/03/2015,H (Mar 16),22.85,23.50,22.35,23.15,23.1750,0.20,2398,0,13398
09/04/2015,H (Mar 16),23.05,24.10,23.00,23.80,23.7750,0.60,2336,0,13943
09/08/2015,H (Mar 16),23.70,23.75,22.80,22.85,22.8250,-0.95,1945,0,14164
09/09/2015,H (Mar 16),22.75,23.10,22.25,23.05,23.0750,0.25,3038,0,14871
09/10/2015,H (Mar 16),23.15,23.55,22.70,22.80,22.7750,-0.30,2327,0,15480
09/11/2015,H (Mar 16),22.95,23.20,22.50,22.70,22.6750,-0.10,2694,0,15923
09/14/2015,H (Mar 16),22.65,23.11,22.38,22.60,22.5750,-0.10,2168,0,16209
09/15/2015,H (Mar 16),22.55,22.65,21.15,21.26,21.2750,-1.30,4179,0,16421
09/16/2015,H (Mar 16),21.25,21.35,20.00,20.05,20.0250,-1.25,5998,0,14980
09/17/2015,H (Mar 16),20.16,20.55,19.36,20.55,20.5250,0.50,6508,0,15709
09/18/2015,H (Mar 16),20.47,21.42,20.28,21.25,21.2750,0.75,5876,0,16156
09/21/2015,H (Mar 16),21.10,21.45,20.50,20.50,20.5250,-0.75,2440,0,16441
09/22/2015,H (Mar 16),20.48,21.79,20.47,21.30,21.2750,0.75,3119,0,15718
09/23/2015,H (Mar 16),21.30,21.75,20.84,20.90,20.9500,-0.32,2585,0,15734
09/24/2015,H (Mar 16),20.96,21.97,20.84,21.40,21.4250,0.48,4000,0,15988
09/25/2015,H (Mar 16),21.42,21.80,20.75,21.65,21.7000,0.28,4362,0,16779
09/28/2015,H (Mar 16),21.75,22.65,21.50,22.25,22.2750,0.58,4323,0,16883
09/29/2015,H (Mar 16),22.33,22.60,21.93,22.50,22.4750,0.20,3280,0,16781
09/30/2015,H (Mar 16),22.31,22.45,21.90,22.20,22.1750,-0.30,3365,0,17248
10/01/2015,H (Mar 16),22.19,22.45,21.72,21.85,21.8250,-0.35,2876,0,16663
10/02/2015,H (Mar 16),21.80,22.31,21.15,21.20,21.1750,-0.65,3174,0,16825
10/05/2015,H (Mar 16),21.33,21.35,20.35,20.40,20.3750,-0.80,2964,0,16907
10/06/2015,H (Mar 16),20.41,20.80,20.20,20.73,20.7250,0.35,2390,0,16834
10/07/2015,H (Mar 16),20.80,20.80,20.10,20.15,20.1250,-0.60,2747,0,16887
10/08/2015,H (Mar 16),20.15,20.40,19.58,19.85,19.8250,-0.30,4232,0,16818
10/09/2015,H (Mar 16),19.83,20.22,19.70,19.90,19.8750,0.05,3013,0,17622
10/12/2015,H (Mar 16),19.90,19.97,19.00,19.00,19.0250,-0.85,3502,0,17867
10/13/2015,H (Mar 16),19.10,20.05,19.00,19.96,19.9250,0.90,3622,0,17937
10/14/2015,H (Mar 16),19.93,20.49,19.80,20.21,20.2000,0.28,3046,24,17896
10/15/2015,H (Mar 16),20.25,20.25,19.08,19.10,19.1250,-1.08,4526,0,17427
10/16/2015,H (Mar 16),19.15,19.58,19.08,19.20,19.1500,0.02,3431,0,17603
10/19/2015,H (Mar 16),19.15,19.31,18.41,18.43,18.4250,-0.72,2436,0,17862
10/20/2015,H (Mar 16),18.50,19.15,18.30,19.10,19.1250,0.70,3396,0,17934
10/21/2015,H (Mar 16),19.10,19.75,18.70,19.75,19.7250,0.60,4681,0,17760
10/22/2015,H (Mar 16),19.70,19.75,18.37,18.42,18.4250,-1.30,4911,0,18165
10/23/2015,H (Mar 16),18.45,18.75,18.05,18.72,18.7250,0.30,6089,0,18559
10/26/2015,H (Mar 16),18.72,19.17,18.67,19.03,19.0250,0.30,4934,0,19241
10/27/2015,H (Mar 16),19.00,19.28,18.65,18.75,18.7250,-0.30,6056,0,18409
10/28/2015,H (Mar 16),18.75,19.18,18.40,18.43,18.4250,-0.30,5004,0,19417
10/29/2015,H (Mar 16),18.45,18.85,18.44,18.65,18.6250,0.20,2826,0,18480
10/30/2015,H (Mar 16),18.65,19.00,18.45,18.87,18.8750,0.25,3807,0,18923
11/02/2015,H (Mar 16),18.99,19.11,18.10,18.35,18.3250,-0.55,2989,0,18907
11/03/2015,H (Mar 16),18.35,18.55,18.17,18.50,18.5250,0.20,3384,0,18824
11/04/2015,H (Mar 16),18.50,18.90,18.32,18.85,18.8750,0.35,3785,0,18792
11/05/2015,H (Mar 16),18.85,18.97,18.50,18.54,18.5250,-0.35,2981,0,18774
