CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
10/27/2017,H (Mar 18),14.95,15.00,14.55,14.55,14.5750,-0.40,5957,0,27983
10/30/2017,H (Mar 18),14.59,14.72,14.45,14.60,14.5750,0.00,7531,0,26809
10/31/2017,H (Mar 18),14.55,14.60,14.43,14.45,14.4750,-0.10,3588,0,27250
11/01/2017,H (Mar 18),14.50,14.60,14.34,14.58,14.5750,0.10,5363,0,28001
11/02/2017,H (Mar 18),14.59,14.77,14.50,14.66,14.6750,0.10,5357,0,29066
11/03/2017,H (Mar 18),14.65,14.75,14.51,14.73,14.7250,0.05,4572,0,29748
11/06/2017,H (Mar 18),14.75,14.89,14.65,14.65,14.6750,-0.05,3808,0,29916
11/07/2017,H (Mar 18),14.73,14.90,14.65,14.80,14.8250,0.15,8072,0,29483
11/08/2017,H (Mar 18),14.85,14.97,14.75,14.88,14.8750,0.05,7120,0,29802
11/09/2017,H (Mar 18),14.90,15.39,14.85,14.95,14.9750,0.10,12139,0,30399
11/10/2017,H (Mar 18),14.99,15.33,14.99,15.20,15.2250,0.25,11128,0,30937
11/13/2017,H (Mar 18),15.21,15.43,15.10,15.38,15.3750,0.15,6381,0,31554
11/14/2017,H (Mar 18),15.40,15.70,15.35,15.49,15.4750,0.10,13831,0,32271
11/15/2017,H (Mar 18),15.50,16.05,15.50,15.70,15.7250,0.25,12749,0,31921
11/16/2017,H (Mar 18),15.70,15.79,15.25,15.45,15.4250,-0.30,7161,0,31942
11/17/2017,H (Mar 18),15.40,15.50,15.20,15.35,15.3250,-0.10,8253,0,32021
11/20/2017,H (Mar 18),15.30,15.43,14.90,14.95,14.9750,-0.35,10133,0,33582
11/21/2017,H (Mar 18),14.97,15.00,14.65,14.65,14.6750,-0.30,8869,0,33235
11/22/2017,H (Mar 18),14.70,14.70,14.50,14.58,14.5750,-0.10,6171,0,33119
11/24/2017,H (Mar 18),14.60,14.74,14.50,14.52,14.5250,-0.05,4469,0,32770
11/27/2017,H (Mar 18),14.52,14.68,14.47,14.60,14.5750,0.05,5081,0,32795
11/28/2017,H (Mar 18),14.59,14.65,14.45,14.50,14.4750,-0.10,8129,0,33007
11/29/2017,H (Mar 18),14.50,14.78,14.45,14.71,14.7250,0.25,6961,0,33274
11/30/2017,H (Mar 18),14.73,14.74,14.52,14.65,14.6750,-0.05,15308,0,34076
12/01/2017,H (Mar 18),14.70,15.62,14.65,14.87,14.8750,0.20,24809,0,34596
12/04/2017,H (Mar 18),14.80,14.88,14.42,14.84,14.8250,-0.05,12132,0,33661
12/05/2017,H (Mar 18),14.85,14.90,14.52,14.70,14.7250,-0.10,11717,0,33330
12/06/2017,H (Mar 18),14.75,14.89,14.65,14.70,14.6750,-0.05,6968,0,33437
12/07/2017,H (Mar 18),14.70,14.75,14.35,14.40,14.3750,-0.30,8370,0,34568
12/08/2017,H (Mar 18),14.37,14.40,14.17,14.25,14.2750,-0.10,36193,0,43445
12/11/2017,H (Mar 18),14.23,14.38,14.05,14.09,14.0750,-0.20,15872,0,43754
12/12/2017,H (Mar 18),14.08,14.15,14.00,14.10,14.0750,0.00,15301,0,43952
12/13/2017,H (Mar 18),14.10,14.20,13.90,13.90,13.9250,-0.15,18150,0,45234
