ticker,horizon,n_obs,win_rate,avg_return_per_bar,annualized_return,annualized_vol,sharpe,turnover,fitness,gross_annualized_return
SPY,1,48,0.6176470588235294,0.002328522770637445,0.5867877382006361,0.12967085326809347,4.52520920015431,0.1276595744680851,9.701803634390538,0.6235377382006361
QURE,3,42,0.7407407407407407,0.03354983516154594,2.8181861535698594,0.8126644455973525,3.467834933394114,0.36585365853658536,9.624752143817533,2.848186153569859
ROKU,5,40,0.6896551724137931,0.026665962503430653,1.343964510172905,0.3445982866745627,3.900090517403355,0.23076923076923078,9.41195052881273,1.3565645101729051
FIVN,1,53,0.7083333333333334,0.009389988519955844,2.3662771070288726,0.760594160949042,3.111090287724951,0.2692307692307692,9.223230664564168,2.432843144764722
BRKR,3,42,0.71875,0.023098482345247424,1.9402725170007837,0.626090683463736,3.0990279335679762,0.21951219512195122,9.213561319157346,1.9582725170007835
ZM,5,40,0.78125,0.03075458217112905,1.550030941424904,0.4412709978808416,3.5126508401158643,0.23076923076923078,9.103663895869934,1.5626309414249042
CRWD,3,42,0.7619047619047619,0.017466825907732745,1.4672133762495505,0.4196411634551651,3.4963523696509555,0.21951219512195122,9.039252286375048,1.4872133762495503
USAR,1,51,0.6470588235294118,0.008984454430350708,2.2640825164483784,0.6703696744752189,3.37736416585484,0.32,8.983571475878966,2.34314133997779
SNOW,5,40,0.5714285714285714,0.04132408380388826,2.082733823715968,0.7988969874315999,2.6070117380362356,0.1794871794871795,8.880617301400363,2.091553823715968
ARM,3,42,0.7894736842105263,0.02094471581025667,1.7593561280615604,0.564918835743392,3.1143520391674957,0.21951219512195122,8.816886604992224,1.77935612806156
AMPX,5,40,0.7142857142857143,0.031164682285804924,1.5706999872045682,0.5733983926063153,2.7392821595908825,0.15384615384615385,8.7526601808752,1.5795199872045684
UNH,1,60,0.5476190476190477,0.003989200524774743,1.0052785322432352,0.24094536855200846,4.1722260041128125,0.23728813559322035,8.587623933352342,1.068278532243235
FTNT,1,53,0.6285714285714286,0.007160224894080317,1.80437667330824,0.5141007958310783,3.5097721846381207,0.3076923076923077,8.499320577807195,1.8804521450063532
TEAM,1,53,0.5,0.007462592737375861,1.880573369818717,0.6123978663973882,3.0708359271101755,0.25,8.422320222834617,1.9423846905734343
NVMI,3,42,0.6666666666666666,0.011983684148879233,1.0066294685058557,0.34060900777973435,2.9553812304248415,0.04878048780487805,8.386742795392934,1.0106294685058557
