,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
CRWD_target_3d,0.043074727,0.036126938,0.041674152,0.03201261,0.039775833,0.05131766,0.055324294,0.04258721,0.04681571,0.044237584,0.041644216,0.056839723,0.04462241,0.05807955,0.06167274,0.039562363,0.039770063,0.0,0.0,0.112161726,0.039815243,0.026531313,0.046353944
CRWD_target_5d,0.041403744,0.024130855,0.021362826,0.027005726,0.037745696,0.042173173,0.05000192,0.07290927,0.040221542,0.037171517,0.034445517,0.04702007,0.037302993,0.049992185,0.0460716,0.03925125,0.028580975,0.0,0.0,0.21048549,0.020087093,0.0404642,0.05217229
DDOG_target_1d,0.039092235,0.050200578,0.055450995,0.05025489,0.043538753,0.05807273,0.044047616,0.042884324,0.04360389,0.045507126,0.048629023,0.054610115,0.042127684,0.059949648,0.047566153,0.051339176,0.05160469,0.0,0.0,0.0092553105,0.05942187,0.051682673,0.05116036
DDOG_target_3d,0.051168233,0.03884219,0.03888349,0.040224753,0.048303716,0.06513324,0.072973035,0.041142214,0.04639539,0.050583735,0.041552376,0.042920664,0.037935935,0.051732782,0.054741476,0.04699928,0.0354288,0.0,0.0,0.03739259,0.05149334,0.045876414,0.06027637
DDOG_target_5d,0.056314748,0.04336712,0.031928517,0.026926715,0.037012752,0.05065405,0.055212304,0.07027047,0.03759243,0.05161508,0.035763156,0.06220752,0.047495455,0.050349828,0.054820262,0.04701708,0.03654547,0.0,0.0,0.07057272,0.061167214,0.02615932,0.04700774
DUOL_target_1d,0.04834669,0.0450636,0.048251122,0.04255628,0.057309598,0.046678793,0.045126483,0.058791466,0.045266557,0.04575402,0.052616462,0.052784912,0.05514133,0.038722362,0.052111037,0.04953185,0.048171416,0.0,0.0,0.0,0.053071685,0.05557588,0.059128497
DUOL_target_3d,0.052465685,0.048084702,0.04493807,0.038668763,0.043500476,0.040832803,0.06981709,0.061849765,0.047976967,0.040384818,0.050199274,0.03958985,0.059197128,0.06595594,0.080578946,0.051910233,0.042812116,0.0,0.0,0.010597828,0.04232017,0.036959413,0.031359922
DUOL_target_5d,0.057489607,0.042745423,0.029790541,0.039759915,0.037578862,0.029153133,0.049831167,0.08274162,0.040096622,0.03170729,0.041665945,0.045860495,0.06281432,0.06331949,0.048314605,0.04261694,0.025619395,0.0,0.0,0.063452594,0.059577227,0.07675875,0.029106073
GOOG_target_1d,0.047547553,0.03981884,0.05309748,0.0486902,0.045801602,0.041304857,0.049925964,0.04436365,0.050144274,0.041759063,0.048913416,0.04553386,0.051728576,0.050234724,0.05553223,0.052967366,0.044526428,0.0,0.0,0.034174234,0.049005143,0.054363098,0.050567407
GOOG_target_3d,0.042988904,0.036919247,0.033743415,0.03722662,0.036897484,0.05353474,0.05691727,0.058145754,0.040690735,0.043829035,0.04209019,0.03758506,0.04147758,0.041322343,0.060012586,0.042807385,0.038287587,0.0,0.0,0.07824864,0.04975071,0.059147354,0.06837732
GOOG_target_5d,0.040537134,0.033370942,0.030377578,0.035950337,0.03730564,0.06622196,0.045509946,0.04488825,0.035097692,0.051861722,0.032686688,0.038636103,0.047385477,0.06528473,0.046372775,0.04044538,0.035657257,0.0,0.0,0.15290503,0.041669168,0.027401438,0.05043478
JNJ_target_1d,0.05057444,0.052395023,0.041441914,0.047713492,0.049394008,0.04758063,0.07431014,0.042749297,0.062144227,0.044696275,0.046813555,0.04204414,0.04594062,0.045956973,0.061414402,0.051620793,0.044990886,0.0,0.0,0.0,0.039082974,0.10106376,0.008072475
JNJ_target_3d,0.047861334,0.03747987,0.03383487,0.04228489,0.044949185,0.04436755,0.04876712,0.063939065,0.04129518,0.04834806,0.036314182,0.0417745,0.047315653,0.052793276,0.061791636,0.048347786,0.041164283,0.0,0.0,0.09730031,0.033135973,0.043080643,0.043854743
JNJ_target_5d,0.06573623,0.04657376,0.037001107,0.04789693,0.049825393,0.07991881,0.060720153,0.050180487,0.049084138,0.05292217,0.04309476,0.052991215,0.06301705,0.06265039,0.08459419,0.053640515,0.036272388,0.0,0.0,0.0638803,0.0,0.0,0.0
META_target_1d,0.036748674,0.04678109,0.0435623,0.0476706,0.04267423,0.040046997,0.043742962,0.049573652,0.04290256,0.04303445,0.03822474,0.042649236,0.052594226,0.0604785,0.042599086,0.043121826,0.046180714,0.0,0.0,0.07296982,0.056917414,0.05481419,0.05271267
META_target_3d,0.046494696,0.04616333,0.043312132,0.04084739,0.038192093,0.066592835,0.060385603,0.07430751,0.03703932,0.042326264,0.046598397,0.047843363,0.05608434,0.055568762,0.066741146,0.046496235,0.0378347,0.0,0.0,0.03501159,0.04203259,0.036041383,0.034086406
META_target_5d,0.046376795,0.038108163,0.029827343,0.026766105,0.048812896,0.06375274,0.06535682,0.06551336,0.034177143,0.04390352,0.0354583,0.04685572,0.052002296,0.060579017,0.06583107,0.053879313,0.03226605,0.0,0.0,0.09070654,0.02464848,0.032896683,0.04228166
MP_target_1d,0.052971892,0.045061745,0.038652405,0.046348963,0.043359682,0.0436541,0.037008,0.049052086,0.04811245,0.044503972,0.035439104,0.039397504,0.040153507,0.03969345,0.051743295,0.048010968,0.036540832,0.0,0.0,0.10394957,0.11169039,0.0016425179,0.043013576
MP_target_3d,0.050504927,0.03976535,0.033252787,0.048297387,0.04614651,0.042948272,0.04145034,0.06140923,0.036283907,0.04648616,0.039428607,0.053469762,0.059892785,0.053154632,0.048161473,0.04163563,0.03518355,0.0,0.0,0.062341336,0.06363835,0.08252788,0.0140212225
MP_target_5d,0.051863723,0.030220715,0.03274169,0.033114705,0.033312585,0.07513442,0.05754704,0.06513412,0.034984026,0.046370663,0.043298405,0.050172403,0.05253913,0.05976871,0.050854255,0.03469757,0.036274496,0.0,0.0,0.10528036,0.10669105,0.0,0.0
MRNA_target_1d,0.04693103,0.0447615,0.043194022,0.048135415,0.04480161,0.041865434,0.03984305,0.058483824,0.04551311,0.04925626,0.048537843,0.054245804,0.050399512,0.060562056,0.048810538,0.046473972,0.04429341,0.0,0.0,0.04220093,0.041135322,0.050521176,0.05003416
MRNA_target_3d,0.053964533,0.04525213,0.026973128,0.043572396,0.0352565,0.044743165,0.064067855,0.07694202,0.044566188,0.044285666,0.044527713,0.06117606,0.047865607,0.06943786,0.059303924,0.051925924,0.03920053,0.0,0.0,0.048878655,0.028515274,0.029322337,0.040222485
MRNA_target_5d,0.04870152,0.030189274,0.0278041,0.03075825,0.024612706,0.073936276,0.055566605,0.061455596,0.036136385,0.048754696,0.03156526,0.046849772,0.050255343,0.055461764,0.059438016,0.0428094,0.03018651,0.0,0.0,0.14569867,0.025255572,0.03128929,0.043275096
NFLX_target_1d,0.044608876,0.045736387,0.042823933,0.045267627,0.040128898,0.043439824,0.05086198,0.058637254,0.048322603,0.042806514,0.045199726,0.049486313,0.04895506,0.053813607,0.058071777,0.0439079,0.049105406,0.0,0.0,0.041325707,0.05672754,0.045994855,0.044778187
NFLX_target_3d,0.052607946,0.044358235,0.0354751,0.035653315,0.043244224,0.05158533,0.07818999,0.051518902,0.04014128,0.046450496,0.039435476,0.054316226,0.05920145,0.054642946,0.051049642,0.055292074,0.036821738,0.0,0.0,0.051420227,0.013700926,0.070155084,0.034739394
NFLX_target_5d,0.057316102,0.04463143,0.037407845,0.029329985,0.041731443,0.05672852,0.07490773,0.05179937,0.04867205,0.053896464,0.04233019,0.059722695,0.061977338,0.059274234,0.062148068,0.057418745,0.041762028,0.0,0.0,0.095769376,0.0,0.0,0.023176374
NVDA_target_1d,0.04125566,0.044843104,0.04476072,0.043033097,0.05090417,0.03777195,0.04560111,0.04886822,0.044072695,0.0453153,0.046356518,0.04787675,0.051409263,0.049541682,0.055713594,0.04590061,0.047903962,0.0,0.0,0.0583734,0.037681907,0.07319942,0.03961688
NVDA_target_3d,0.06641874,0.04287858,0.036122467,0.040252395,0.05161064,0.052026413,0.059305415,0.07520967,0.04750741,0.049486466,0.043388203,0.05708999,0.04673029,0.056311384,0.055395678,0.047168557,0.045343295,0.0,0.0,0.0036872681,0.03833481,0.03755211,0.04818025
