month,close,vintage_date
1977-02,99.81999969482422,1977-03-01
1977-03,98.41999816894531,1977-04-01
1977-04,98.44000244140625,1977-04-30
1977-05,96.12000274658203,1977-06-01
1977-06,100.4800033569336,1977-07-01
1977-07,98.8499984741211,1977-07-30
1977-08,96.7699966430664,1977-09-01
1977-09,96.52999877929688,1977-10-01
1977-10,92.33999633789062,1977-11-01
1977-11,94.83000183105469,1977-12-01
1977-12,95.0999984741211,1977-12-31
1978-01,89.25,1978-02-01
1978-02,87.04000091552734,1978-03-01
1978-03,89.20999908447266,1978-04-01
1978-04,96.83000183105469,1978-04-29
1978-05,97.23999786376953,1978-06-01
1978-06,95.52999877929688,1978-07-01
1978-07,100.68000030517578,1978-08-01
1978-08,103.29000091552734,1978-09-01
1978-09,102.54000091552734,1978-09-30
1978-10,93.1500015258789,1978-11-01
1978-11,94.69999694824219,1978-12-01
1978-12,96.11000061035156,1978-12-30
1979-01,99.93000030517578,1979-02-01
1979-02,96.27999877929688,1979-03-01
1979-03,101.58999633789062,1979-03-31
1979-04,101.76000213623047,1979-05-01
1979-05,99.08000183105469,1979-06-01
1979-06,102.91000366210938,1979-06-30
1979-07,103.80999755859375,1979-08-01
1979-08,109.31999969482422,1979-09-01
1979-09,109.31999969482422,1979-09-29
1979-10,101.81999969482422,1979-11-01
1979-11,106.16000366210938,1979-12-01
1979-12,107.94000244140625,1980-01-01
1980-01,114.16000366210938,1980-02-01
1980-02,113.66000366210938,1980-03-01
1980-03,102.08999633789062,1980-04-01
1980-04,106.29000091552734,1980-05-01
1980-05,111.23999786376953,1980-05-31
1980-06,114.23999786376953,1980-07-01
1980-07,121.66999816894531,1980-08-01
1980-08,122.37999725341797,1980-08-30
1980-09,125.45999908447266,1980-10-01
1980-10,127.47000122070312,1980-11-01
1980-11,140.52000427246094,1980-11-29
1980-12,135.75999450683594,1981-01-01
1981-01,129.5500030517578,1981-01-31
1981-02,131.27000427246094,1981-02-28
1981-03,136.0,1981-04-01
1981-04,132.80999755859375,1981-05-01
1981-05,132.58999633789062,1981-05-30
1981-06,131.2100067138672,1981-07-01
1981-07,130.9199981689453,1981-08-01
1981-08,122.79000091552734,1981-09-01
1981-09,116.18000030517578,1981-10-01
1981-10,121.88999938964844,1981-10-31
1981-11,126.3499984741211,1981-12-01
1981-12,122.55000305175781,1982-01-01
1982-01,120.4000015258789,1982-01-30
1982-02,113.11000061035156,1982-02-27
1982-03,111.95999908447266,1982-04-01
1982-04,116.44000244140625,1982-05-01
1982-05,111.87999725341797,1982-05-29
1982-06,109.61000061035156,1982-07-01
1982-07,107.08999633789062,1982-07-31
1982-08,119.51000213623047,1982-09-01
1982-09,120.41999816894531,1982-10-01
1982-10,133.72000122070312,1982-10-30
1982-11,138.52999877929688,1982-12-01
1982-12,140.63999938964844,1983-01-01
1983-01,145.3000030517578,1983-02-01
1983-02,148.05999755859375,1983-03-01
1983-03,152.9600067138672,1983-04-01
1983-04,164.42999267578125,1983-04-30
1983-05,162.38999938964844,1983-06-01
1983-06,167.63999938964844,1983-07-01
1983-07,162.55999755859375,1983-07-30
1983-08,164.39999389648438,1983-09-01
1983-09,166.07000732421875,1983-10-01
1983-10,163.5500030517578,1983-11-01
1983-11,166.39999389648438,1983-12-01
1983-12,164.92999267578125,1983-12-31
1984-01,163.41000366210938,1984-02-01
1984-02,157.05999755859375,1984-03-01
1984-03,159.17999267578125,1984-03-31
1984-04,160.0500030517578,1984-05-01
1984-05,150.5500030517578,1984-06-01
1984-06,153.17999267578125,1984-06-30
1984-07,150.66000366210938,1984-08-01
1984-08,166.67999267578125,1984-09-01
1984-09,166.10000610351562,1984-09-29
1984-10,166.08999633789062,1984-11-01
1984-11,163.5800018310547,1984-12-01
1984-12,167.24000549316406,1985-01-01
1985-01,179.6300048828125,1985-02-01
1985-02,181.17999267578125,1985-03-01
1985-03,180.66000366210938,1985-03-30
1985-04,179.8300018310547,1985-05-01
1985-05,189.5500030517578,1985-06-01
1985-06,191.85000610351562,1985-06-29
1985-07,190.9199981689453,1985-08-01
1985-08,188.6300048828125,1985-08-31
1985-09,182.0800018310547,1985-10-01
1985-10,189.82000732421875,1985-11-01
1985-11,202.1699981689453,1985-11-30
1985-12,211.27999877929688,1986-01-01
1986-01,211.77999877929688,1986-02-01
1986-02,226.9199981689453,1986-03-01
1986-03,238.89999389648438,1986-04-01
1986-04,235.52000427246094,1986-05-01
1986-05,247.35000610351562,1986-05-31
1986-06,250.83999633789062,1986-07-01
1986-07,236.1199951171875,1986-08-01
1986-08,252.92999267578125,1986-08-30
1986-09,231.32000732421875,1986-10-01
1986-10,243.97999572753906,1986-11-01
1986-11,249.22000122070312,1986-11-29
1986-12,242.1699981689453,1987-01-01
1987-01,274.0799865722656,1987-01-31
1987-02,284.20001220703125,1987-02-28
1987-03,291.70001220703125,1987-04-01
1987-04,288.3599853515625,1987-05-01
1987-05,290.1000061035156,1987-05-30
1987-06,304.0,1987-07-01
1987-07,318.6600036621094,1987-08-01
1987-08,329.79998779296875,1987-09-01
1987-09,321.8299865722656,1987-10-01
1987-10,251.7899932861328,1987-10-31
1987-11,230.3000030517578,1987-12-01
1987-12,247.0800018310547,1988-01-01
1988-01,257.07000732421875,1988-01-30
1988-02,267.82000732421875,1988-03-01
1988-03,258.8900146484375,1988-04-01
1988-04,261.3299865722656,1988-04-30
1988-05,262.1600036621094,1988-06-01
1988-06,273.5,1988-07-01
1988-07,272.0199890136719,1988-07-30
1988-08,261.5199890136719,1988-09-01
1988-09,271.9100036621094,1988-10-01
1988-10,278.9700012207031,1988-11-01
1988-11,273.70001220703125,1988-12-01
1988-12,277.7200012207031,1988-12-31
1989-01,297.4700012207031,1989-02-01
1989-02,288.8599853515625,1989-03-01
1989-03,294.8699951171875,1989-04-01
1989-04,309.6400146484375,1989-04-29
1989-05,320.5199890136719,1989-06-01
1989-06,317.9800109863281,1989-07-01
1989-07,346.0799865722656,1989-08-01
1989-08,351.45001220703125,1989-09-01
1989-09,349.1499938964844,1989-09-30
1989-10,340.3599853515625,1989-11-01
1989-11,345.989990234375,1989-12-01
1989-12,353.3999938964844,1989-12-30
1990-01,329.0799865722656,1990-02-01
1990-02,331.8900146484375,1990-03-01
1990-03,339.94000244140625,1990-03-31
1990-04,330.79998779296875,1990-05-01
1990-05,361.2300109863281,1990-06-01
1990-06,358.0199890136719,1990-06-30
1990-07,356.1499938964844,1990-08-01
1990-08,322.55999755859375,1990-09-01
1990-09,306.04998779296875,1990-09-29
1990-10,304.0,1990-11-01
1990-11,322.2200012207031,1990-12-01
1990-12,330.2200012207031,1991-01-01
1991-01,343.92999267578125,1991-02-01
1991-02,367.07000732421875,1991-03-01
1991-03,375.2200012207031,1991-03-29
1991-04,375.3399963378906,1991-05-01
1991-05,389.8299865722656,1991-06-01
1991-06,371.1600036621094,1991-06-29
1991-07,387.80999755859375,1991-08-01
1991-08,395.42999267578125,1991-08-31
1991-09,387.8599853515625,1991-10-01
1991-10,392.45001220703125,1991-11-01
1991-11,375.2200012207031,1991-11-30
1991-12,417.0899963378906,1992-01-01
1992-01,408.7799987792969,1992-02-01
1992-02,412.70001220703125,1992-02-29
1992-03,403.69000244140625,1992-04-01
1992-04,414.95001220703125,1992-05-01
1992-05,415.3500061035156,1992-05-30
1992-06,408.1400146484375,1992-07-01
1992-07,424.2099914550781,1992-08-01
1992-08,414.0299987792969,1992-09-01
1992-09,417.79998779296875,1992-10-01
1992-10,418.67999267578125,1992-10-31
1992-11,431.3500061035156,1992-12-01
1992-12,435.7099914550781,1993-01-01
1993-01,438.7799987792969,1993-01-30
1993-02,443.3800048828125,1993-02-27
1993-03,451.6700134277344,1993-04-01
1993-04,440.19000244140625,1993-05-01
