feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR,ts_mean_IC,ts_std_IC,ts_IC_IR,ts_n_tickers,ts_pass,cs_ts_divergence
premarket_gap__ts_mean__w10,576.0,0.002050595496094131,0.158884268947625,0.012906221048039025,0.3097493051529366,premarket_gap,0.018272700417598126,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__ts_mean__w5,579.0,-0.0010015634250067134,0.07826251397819524,-0.012797485975032179,-0.3079384675154813,eightk_exec_change_30d,0.018191244794696675,False,False,False,False,False,,,,,False,False
rev_growth_qoq__ts_min__w10,579.0,-0.0014003841142249047,0.1100541017261104,-0.01272450633153151,-0.30618240076742886,rev_growth_qoq,0.01811297485098514,False,False,False,False,False,,,,,False,False
insider_90d__ts_rank__w20,571.0,-0.0014279535779292086,0.1114895336228867,-0.012807960815041715,-0.30605398902291203,insider_90d,0.018108444973377817,False,False,False,False,False,,,,,False,False
sector_rel_ret__ts_decay_linear__w10,571.0,0.0019505827516723318,0.15247425756696184,0.01279286604045734,0.305693290232397,sector_rel_ret,0.018092407316379337,False,False,False,False,False,,,,,False,False
eightk_days_since_last__ts_mean__w10,576.0,0.0010800355907156901,0.08512211904171409,0.01268807218234803,0.3045137323763527,eightk_days_since_last,0.0180393048924177,False,False,False,False,False,,,,,False,False
return_60d__ts_rank__w20,530.0,0.0018880694276656312,0.1429868393910341,0.01320449795034788,0.30399037163040693,return_60d,0.018023449296051475,False,False,False,False,False,,,,,False,False
insider_net_shares__ts_rank__w20,571.0,0.0014518425222716709,0.11427470027584237,0.01270484646879087,0.3035900092019792,insider_net_shares,0.017999130774734955,False,False,False,False,False,,,,,False,False
insider_90d__ts_max__w20,579.0,0.00217482253314613,0.17805388374527434,0.012214406602090482,0.29390816743202275,insider_90d,0.017573877744550558,False,False,False,False,False,,,,,False,False
insider_7d__ts_rank__w20,571.0,-0.0011964825561287,0.09747236172142425,-0.01227509557579249,-0.2933208510598145,insider_7d,0.01754958334085421,False,False,False,False,False,,,,,False,False
macd_signal__ts_rank__w20,571.0,-0.0017971163787224892,0.14828645947796046,-0.012119221033728918,-0.28959613437192067,macd_signal,0.01738891573778289,False,False,False,False,False,,,,,False,False
eightk_material_agreement_30d__ts_min__w20,488.0,-0.0013120717578598798,0.10159087122829943,-0.012915252541848322,-0.28530725390572026,eightk_material_agreement_30d,0.017219465140354155,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__cs_zscore,579.0,0.0009069575937159057,0.07682135450356965,0.011806060952410857,0.2840823833816018,eightk_exec_change_30d,0.017152251934560277,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__signed_power_p05,579.0,0.0009069575937159057,0.07682135450356965,0.011806060952410857,0.2840823833816018,eightk_exec_change_30d,0.017152251934560277,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__scale,579.0,0.0009069575937159057,0.07682135450356965,0.011806060952410857,0.2840823833816018,eightk_exec_change_30d,0.017152251934560277,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__cs_rank,579.0,0.0009069575937159057,0.07682135450356965,0.011806060952410857,0.2840823833816018,eightk_exec_change_30d,0.017152251934560277,False,False,False,False,False,,,,,False,False
eightk_exec_change_30d__cs_demean,579.0,0.0009069575937159057,0.07682135450356965,0.011806060952410857,0.2840823833816018,eightk_exec_change_30d,0.017152251934560277,False,False,False,False,False,,,,,False,False
eightk_days_since_last__ts_max__w20,579.0,-0.0010653496902130976,0.09091826018573242,-0.011717664724740083,-0.2819553563283044,eightk_days_since_last,0.017062128553173034,False,False,False,False,False,,,,,False,False
rsi_below_30__ts_rank__w5,570.0,-0.0010951666109842398,0.09316900169703796,-0.011754624296023315,-0.2806378086327235,rsi_below_30,0.017007775863646848,False,False,False,False,False,,,,,False,False
eightk_days_since_last__ts_mean__w20,571.0,-0.001012142494948133,0.08626037834643065,-0.011733573563557344,-0.2803808542576974,eightk_days_since_last,0.01699680275693563,False,False,False,False,False,,,,,False,False
ma_50__group_neutralize,550.0,-0.0009590630974564906,0.08068776723716847,-0.011886102817016634,-0.27875381987908243,ma_50,0.016931464728345415,False,False,False,False,False,,,,,False,False
vol_zscore_60d__ts_min__w10,579.0,0.0013359846000246828,0.11647433905149979,0.01147020546245787,0.2760008879156515,vol_zscore_60d,0.016811985219902445,False,False,False,False,False,,,,,False,False
return_3d__ts_min__w20,579.0,-0.002715158702848708,0.23694559336541543,-0.011458996406240035,-0.27573117091023747,return_3d,0.016800729280246864,False,False,False,False,False,,,,,False,False
bb_width__group_neutralize,579.0,-0.0015983942516394332,0.13974726105458504,-0.01143775011815869,-0.27521993382781934,bb_width,0.01677941182523533,False,False,False,False,False,,,,,False,False
rev_growth_qoq__group_neutralize,579.0,-0.0010962221765391494,0.09599066838524394,-0.011420091087808958,-0.2747950148433942,rev_growth_qoq,0.01676171126597202,False,False,False,False,False,,,,,False,False
volatility_10d__ts_std__w5,579.0,0.0020329037408883194,0.17813700367157506,0.011412023886043983,0.27460089845573094,volatility_10d,0.01675363041246238,False,False,False,False,False,,,,,False,False
sector_rel_ret__ts_max__w10,579.0,0.002383074949998106,0.21064322890589673,0.011313323302040374,0.2722259236645686,sector_rel_ret,0.016655032484231096,False,False,False,False,False,,,,,False,False
eightk_other_events_30d__ts_min__w5,579.0,-0.001055823682012811,0.09419419400061552,-0.011209010207209923,-0.26971589828719716,eightk_other_events_30d,0.0165513683094911,False,False,False,False,False,,,,,False,False
rev_growth_qoq__ts_min__w5,579.0,0.0012522779537325547,0.11215207197710582,0.011165892271595203,0.2686783764613063,rev_growth_qoq,0.016508680300334803,False,False,False,False,False,,,,,False,False
insider_90d__ts_delta__w10,570.0,-0.0012049530402445368,0.10797876159570582,-0.011159167066169207,-0.2664214621198619,insider_90d,0.01641738197878857,False,False,False,False,False,,,,,False,False
insider_90d__ts_mean__w10,576.0,-0.0020063314634743263,0.18088099527556373,-0.011091997036049997,-0.26620792886519995,insider_90d,0.01640782236168635,False,False,False,False,False,,,,,False,False
