n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
552,138,63,0.6032,0.6453,1.2734,0.2316,0.6032,0.6032,63,0.6667,42,0.6585,41,AZN,3,3,690,693
602,151,63,0.5714,0.5921,0.6896,0.2482,0.6032,0.7391,23,0.6364,11,,0,AZN,3,4,753,756
652,164,63,0.4921,0.5016,0.7169,0.2611,0.5873,0.5714,35,0.5833,24,0.5833,24,AZN,3,5,816,819
703,176,63,0.4127,0.5087,0.7934,0.2971,0.4286,0.4167,60,0.4318,44,0.4318,44,AZN,3,6,879,882
753,189,63,0.4444,0.4399,0.7495,0.2744,0.6667,0.64,25,0.5556,18,0.5556,18,AZN,3,7,942,945
804,201,63,0.3651,0.5092,0.7141,0.2605,0.3651,0.3651,63,0.5,2,,0,AZN,3,8,1005,1008
400,101,63,0.6349,0.5,0.673,0.24,0.3651,,0,,0,,0,BA,3,0,501,504
451,113,63,0.4762,0.5091,0.7045,0.2557,0.5238,,0,,0,,0,BA,3,1,564,567
501,126,63,0.4444,0.5286,0.6957,0.2513,0.4444,0.4444,63,,0,,0,BA,3,2,627,630
552,138,63,0.5556,0.5432,1.7802,0.2633,0.6508,0.6757,37,0.6667,36,0.6667,15,BA,3,3,690,693
602,151,63,0.5714,0.5735,0.6658,0.2367,0.5397,0.5686,51,0.5686,51,,0,BA,3,4,753,756
652,164,63,0.4127,0.5211,0.8925,0.3418,0.6508,1.0,4,,0,,0,BA,3,5,816,819
703,176,63,0.5238,0.5527,4.3339,0.3595,0.4603,0.0,1,0.0,1,0.0,1,BA,3,6,879,882
753,189,63,0.6349,0.6348,0.9133,0.2414,0.6349,0.6604,53,0.7083,48,0.7083,48,BA,3,7,942,945
804,201,63,0.6667,0.6502,2.1778,0.2561,0.4286,0.5882,34,0.5667,30,,0,BA,3,8,1005,1008
400,101,63,0.5556,0.5394,0.7718,0.2722,0.4762,0.5714,14,0.5714,14,0.5714,14,BETR,3,0,501,504
451,113,63,0.5873,0.5827,0.9043,0.2484,0.5079,0.65,20,0.6667,18,0.6429,14,BETR,3,1,564,567
400,101,63,0.4127,0.4356,0.7616,0.2827,0.5397,0.4634,41,,0,,0,BRKR,3,0,501,504
451,113,63,0.4762,0.4949,3.3003,0.3635,0.4762,0.4762,63,0.4762,63,0.4865,37,BRKR,3,1,564,567
501,126,63,0.4762,0.5288,0.6999,0.2534,0.4762,0.4762,63,,0,,0,BRKR,3,2,627,630
552,138,63,0.5714,0.6065,0.9246,0.2625,0.5397,0.64,25,0.6087,23,,0,BRKR,3,3,690,693
602,151,63,0.4286,0.5384,0.6977,0.2522,0.3968,0.4068,59,0.6667,9,,0,BRKR,3,4,753,756
652,164,63,0.4603,0.4061,0.7365,0.2711,0.4762,0.45,40,0.25,12,0.25,12,BRKR,3,5,816,819
