ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
CHRW,5,26,0.5128,0.1033,0.54,0.286,0.5768,625,0.5324
CARR,5,17,0.4678,0.0915,0.5177,0.2737,0.5135,245,0.5294
CAT,5,26,0.5092,0.1098,0.5278,0.2666,0.5428,756,0.5629
CTAS,5,26,0.5531,0.1043,0.5429,0.2494,0.597,980,0.5647
FIX,5,26,0.5562,0.1369,0.514,0.2674,0.6152,1010,0.58
CPRT,5,26,0.5269,0.1259,0.4901,0.2769,0.5464,932,0.533
CSX,5,26,0.5079,0.0895,0.5644,0.271,0.615,574,0.5311
CMI,5,26,0.525,0.1032,0.5675,0.2691,0.5654,690,0.5409
DE,5,26,0.5372,0.0962,0.5468,0.2788,0.5699,801,0.5556
DAL,5,26,0.489,0.1462,0.5725,0.2928,0.5517,677,0.5208
DOV,5,26,0.5024,0.1347,0.5289,0.2718,0.6301,703,0.5452
EMR,5,26,0.5171,0.1137,0.5235,0.2797,0.6098,635,0.5488
EFX,5,26,0.4854,0.102,0.5379,0.2615,0.5297,594,0.514
EXPD,5,26,0.5122,0.0981,0.5172,0.2682,0.6273,767,0.5647
FAST,5,26,0.536,0.1106,0.5228,0.2676,0.5608,754,0.5513
FDX,5,26,0.5232,0.1275,0.5166,0.269,0.6078,732,0.5598
FTV,5,26,0.5568,0.1101,0.5464,0.2616,0.5723,711,0.525
GE,5,26,0.5336,0.1274,0.542,0.2839,0.591,1014,0.5702
GNRC,5,26,0.5104,0.1391,0.5016,0.2728,0.5066,851,0.5427
GD,5,26,0.4982,0.1117,0.5465,0.2865,0.5792,700,0.5531
HON,5,26,0.5324,0.087,0.5468,0.2653,0.5893,702,0.5305
HWM,5,17,0.5574,0.117,0.5175,0.2583,0.6025,714,0.5985
HUBB,5,26,0.5055,0.1154,0.5384,0.2801,0.588,729,0.5647
HII,5,26,0.4682,0.1034,0.5384,0.2908,0.5006,633,0.5244
IEX,5,26,0.4731,0.0769,0.544,0.2822,0.5974,686,0.5336
ITW,5,26,0.5256,0.1245,0.5601,0.2721,0.6639,611,0.5324
IR,5,26,0.5232,0.1067,0.5511,0.2781,0.5673,852,0.5556
JBHT,5,26,0.4933,0.1016,0.5624,0.2716,0.6007,712,0.5287
J,5,18,0.4771,0.1081,0.5548,0.2661,0.579,276,0.5185
APTV,5,26,0.5128,0.1226,0.5603,0.2668,0.6213,587,0.5012
AZO,5,26,0.5604,0.0784,0.5887,0.2611,0.6592,730,0.547
BBY,5,26,0.5269,0.1123,0.5457,0.2791,0.54,533,0.4969
BKNG,5,25,0.5137,0.1062,0.5053,0.2724,0.5191,796,0.5517
CCL,5,26,0.4951,0.1027,0.5679,0.2794,0.5438,555,0.4969
CVNA,5,26,0.5183,0.1368,0.5068,0.2793,0.5701,750,0.5232
CMG,5,26,0.5433,0.1058,0.5449,0.2558,0.5837,815,0.5385
DRI,5,26,0.4835,0.0775,0.5608,0.2687,0.5977,464,0.5183
DECK,5,26,0.5317,0.1122,0.5163,0.2771,0.5673,1090,0.5476
DPZ,5,26,0.489,0.0952,0.5178,0.2642,0.4983,498,0.5116
DHI,5,26,0.5336,0.1394,0.5571,0.2696,0.5807,858,0.5299
EBAY,5,26,0.5403,0.1047,0.5242,0.2751,0.6266,644,0.55
EXPE,5,26,0.4896,0.1013,0.531,0.2685,0.6629,588,0.5452
F,5,26,0.4988,0.0805,0.5282,0.2764,0.6287,512,0.514
GRMN,5,26,0.5427,0.1228,0.5126,0.2666,0.5874,1041,0.5629
GPC,5,26,0.4774,0.0964,0.5138,0.2783,0.5493,500,0.5305
HAS,5,26,0.5397,0.0984,0.5909,0.2855,0.6159,648,0.5195
HLT,5,26,0.5378,0.1008,0.5569,0.2868,0.6385,1024,0.5739
HD,5,26,0.5037,0.1033,0.5194,0.2775,0.5152,650,0.5391
LVS,5,26,0.464,0.1258,0.511,0.277,0.5282,289,0.4774
LEN,5,26,0.5012,0.0917,0.5294,0.27,0.5657,845,0.5317
LOW,5,26,0.5348,0.1165,0.5024,0.2607,0.5474,688,0.5372
MAR,5,26,0.5128,0.0952,0.5457,0.2701,0.5832,727,0.5513
MCD,5,26,0.5262,0.0892,0.5488,0.2789,0.5546,721,0.5305
MGM,5,26,0.4921,0.1009,0.5727,0.296,0.6537,362,0.5043
NKE,5,26,0.5079,0.1112,0.4717,0.2826,0.4785,591,0.4841
NCLH,5,26,0.489,0.0922,0.5497,0.2821,0.4923,558,0.5055
MO,5,26,0.5275,0.1116,0.5076,0.2583,0.5742,925,0.5482
ADM,5,26,0.4866,0.1065,0.5079,0.2751,0.5307,553,0.544
BG,5,26,0.5043,0.122,0.5541,0.271,0.5785,553,0.5397
CPB,5,26,0.4835,0.1183,0.5381,0.2813,0.5303,677,0.4835
CASY,5,26,0.5391,0.0994,0.5761,0.2618,0.6034,620,0.547
CHD,5,26,0.5073,0.0994,0.5524,0.2804,0.5902,597,0.5275
CLX,5,26,0.4921,0.1063,0.5123,0.2777,0.526,565,0.4817
KO,5,26,0.5055,0.1081,0.5344,0.2704,0.5832,591,0.5262
CL,5,26,0.4945,0.1128,0.5561,0.2871,0.579,760,0.5232
CAG,5,26,0.4902,0.1064,0.5161,0.2739,0.6103,614,0.4872
STZ,5,26,0.4792,0.1126,0.5357,0.2855,0.6245,483,0.5073
DG,5,26,0.4957,0.1008,0.5415,0.2672,0.5404,679,0.5073
DLTR,5,26,0.4414,0.1242,0.5225,0.2759,0.6073,393,0.5134
EL,5,26,0.4817,0.15,0.5114,0.2621,0.5742,435,0.5012
GIS,5,26,0.4939,0.1075,0.5218,0.2691,0.5327,495,0.4829
HSY,5,26,0.5366,0.1442,0.5396,0.2603,0.6176,576,0.5183
HRL,5,26,0.4933,0.1169,0.5481,0.2782,0.5884,532,0.4902
KDP,5,24,0.5284,0.0726,0.5673,0.2623,0.5905,760,0.5311
KMB,5,26,0.4963,0.0939,0.5262,0.2702,0.6239,455,0.4915
KHC,5,26,0.5098,0.1154,0.5441,0.2742,0.6062,373,0.4939
