n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
701,176,63,0.4603,0.5943,0.6742,0.2451,0.5397,,0,,0,,0,ASTS,5,6,877,882
752,188,63,0.5079,0.4516,0.7016,0.2541,0.5079,0.5079,63,0.4,5,0.4,5,ASTS,5,7,940,945
802,201,63,0.4127,0.7121,1.6344,0.2873,0.4127,0.4127,63,0.5476,42,0.6,20,ASTS,5,8,1003,1008
399,100,63,0.3968,0.5981,6.4803,0.5222,0.6508,0.6667,9,0.6667,3,,0,AXP,5,0,499,504
449,113,63,0.5873,0.5884,0.6631,0.2369,0.5873,0.5873,63,0.5873,63,0.566,53,AXP,5,1,562,567
500,125,63,0.746,0.5957,0.561,0.1882,0.746,0.746,63,0.7377,61,0.7377,61,AXP,5,2,625,630
550,138,63,0.4286,0.4783,3.9928,0.39,0.4762,0.4464,56,0.4464,56,0.4545,55,AXP,5,3,688,693
600,151,63,0.4921,0.7686,0.7714,0.2785,0.4921,0.4921,63,0.4921,63,0.4921,63,AXP,5,4,751,756
651,163,63,0.6032,0.6033,0.938,0.2595,0.5079,0.5636,55,0.5636,55,0.6,15,AXP,5,5,814,819
701,176,63,0.381,0.4029,0.762,0.2838,0.6825,0.75,8,0.75,8,0.8333,6,AXP,5,6,877,882
752,188,63,0.4444,0.5399,4.8907,0.4101,0.5238,0.25,4,,0,,0,AXP,5,7,940,945
802,201,63,0.5079,0.4917,0.6952,0.251,0.4127,0.449,49,0.2,5,,0,AXP,5,8,1003,1008
399,100,63,0.5873,0.3448,1.1031,0.3078,0.6825,0.6545,55,0.6481,54,0.2857,7,AZN,5,0,499,504
449,113,63,0.4444,0.4441,0.7338,0.27,0.4921,0.4333,30,0.4333,30,0.4333,30,AZN,5,1,562,567
500,125,63,0.381,0.5,0.7109,0.2589,0.381,0.381,63,,0,,0,AZN,5,2,625,630
550,138,63,0.5079,0.5811,0.6539,0.2342,0.5873,1.0,6,1.0,6,1.0,6,AZN,5,3,688,693
600,151,63,0.4444,0.5046,0.775,0.2893,0.5714,0.6,5,0.6,5,0.6,5,AZN,5,4,751,756
651,163,63,0.4921,0.5323,0.7448,0.2747,0.6667,0.7083,24,0.6667,6,0.6667,6,AZN,5,5,814,819
701,176,63,0.4603,0.5213,0.7496,0.2772,0.4603,0.4603,63,0.4603,63,0.4603,63,AZN,5,6,877,882
752,188,63,0.619,0.5477,0.9022,0.2456,0.6508,0.6667,51,0.6667,51,0.7273,11,AZN,5,7,940,945
802,201,63,0.5556,0.5843,0.7254,0.2658,0.3175,0.3947,38,0.3636,33,0.3571,14,AZN,5,8,1003,1008
399,100,63,0.3333,0.2234,0.9005,0.3466,0.3333,0.1111,27,0.1111,27,0.1111,27,BA,5,0,499,504
449,113,63,0.4921,0.5262,0.6994,0.2531,0.4921,0.0,1,,0,,0,BA,5,1,562,567
500,125,63,0.4286,0.4614,0.6941,0.251,0.3651,0.2174,23,0.0,3,,0,BA,5,2,625,630
550,138,63,0.3333,0.4762,0.7258,0.2663,0.6667,,0,,0,,0,BA,5,3,688,693
600,151,63,0.619,0.5337,0.6774,0.2421,0.6032,0.6207,58,,0,,0,BA,5,4,751,756
651,163,63,0.5397,0.5654,0.8118,0.2995,0.6508,0.6875,32,0.6875,32,1.0,2,BA,5,5,814,819
701,176,63,0.619,0.6095,4.4535,0.3257,0.3968,0.6,5,0.5,4,,0,BA,5,6,877,882
752,188,63,0.7619,0.691,0.6376,0.2228,0.6667,0.8293,41,0.8293,41,0.625,8,BA,5,7,940,945
802,201,63,0.7302,0.7121,1.0321,0.2099,0.3968,0.7222,18,0.75,12,0.75,12,BA,5,8,1003,1008
399,100,63,0.2857,0.4031,0.765,0.2851,0.3333,0.2692,52,0.2821,39,0.5,2,BETR,5,0,499,504
449,113,63,0.4762,0.5255,0.6896,0.2487,0.5556,0.75,4,0.6667,3,0.6667,3,BETR,5,1,562,567
500,125,63,0.5238,0.561,0.9112,0.2545,0.4921,1.0,1,,0,,0,BETR,5,2,625,630
399,100,63,0.4603,0.4807,2.4344,0.36,0.5397,0.5,32,0.5,32,0.5,26,BRKR,5,0,499,504
449,113,63,0.4603,0.6156,3.4716,0.3509,0.4603,0.4603,63,0.4833,60,0.5091,55,BRKR,5,1,562,567
500,125,63,0.5238,0.5338,0.6928,0.2498,0.4762,0.5,2,0.5,2,,0,BRKR,5,2,625,630
550,138,63,0.5714,0.6303,0.9321,0.2601,0.5238,0.6364,22,0.0,2,0.0,2,BRKR,5,3,688,693
600,151,63,0.4444,0.6677,0.7939,0.2896,0.381,0.4068,59,0.4038,52,0.4038,52,BRKR,5,4,751,756
651,163,63,0.4286,0.4209,0.717,0.2619,0.5079,0.3571,14,0.4,5,,0,BRKR,5,5,814,819
701,176,63,0.4921,0.406,0.7143,0.2604,0.6349,0.58,50,,0,,0,BRKR,5,6,877,882
752,188,63,0.3016,0.3149,1.0345,0.3098,0.4603,0.2414,29,0.3333,12,0.0,2,BRKR,5,7,940,945
802,201,63,0.5714,0.4684,0.6769,0.2446,0.6032,0.5902,61,0.5429,35,0.7,10,BRKR,5,8,1003,1008
399,100,63,0.7619,0.5417,0.5922,0.2005,0.7619,0.7619,63,0.7619,63,0.7619,63,BSX,5,0,499,504
449,113,63,0.5556,0.5714,0.8247,0.3019,0.5556,0.5556,63,0.5556,63,0.5556,63,BSX,5,1,562,567
500,125,63,0.7778,0.5241,0.5457,0.1798,0.7778,0.7778,63,0.7778,63,0.7778,63,BSX,5,2,625,630
550,138,63,0.7302,0.4265,0.6172,0.213,0.7302,0.7302,63,0.7091,55,0.7091,55,BSX,5,3,688,693
600,151,63,0.4921,0.4985,1.0067,0.295,0.4921,0.4921,63,0.4921,63,0.4921,63,BSX,5,4,751,756
651,163,63,0.4603,0.5,0.7507,0.2779,0.4603,0.4603,63,0.4603,63,0.4603,63,BSX,5,5,814,819
701,176,63,0.5397,0.5177,0.9054,0.2506,0.5238,0.5323,62,0.5323,62,0.75,4,BSX,5,6,877,882
752,188,63,0.4444,0.5,0.6931,0.25,0.4444,0.4444,63,,0,,0,BSX,5,7,940,945
802,201,63,0.3175,0.4994,0.8307,0.3157,0.3016,0.3065,62,0.3214,56,0.3214,56,BSX,5,8,1003,1008
399,100,63,0.6508,0.52,1.3725,0.266,0.3492,0.5,8,0.5,8,0.5,8,CAVA,5,0,499,504
449,113,63,0.6825,0.799,0.5328,0.1876,0.5556,0.8261,23,0.8889,18,0.8889,18,CAVA,5,1,562,567
500,125,63,0.6032,0.6292,0.869,0.239,0.6508,0.7222,36,0.7222,36,0.7727,22,CAVA,5,2,625,630
399,100,63,0.5397,0.5842,0.7504,0.2771,0.6349,0.7037,27,,0,,0,CI,5,0,499,504
449,113,63,0.4762,0.6162,0.7113,0.259,0.4762,0.4762,63,0.4762,63,1.0,1,CI,5,1,562,567
500,125,63,0.3175,0.3939,2.7316,0.397,0.4762,0.3617,47,0.3617,47,0.3617,47,CI,5,2,625,630
550,138,63,0.4921,0.435,0.6973,0.2535,0.5873,0.549,51,0.5532,47,0.5532,47,CI,5,3,688,693
600,151,63,0.6667,0.5965,0.8556,0.2249,0.6508,0.6667,60,0.6667,60,0.8889,9,CI,5,4,751,756
651,163,63,0.3968,0.4802,1.4875,0.3189,0.381,0.375,56,0.3793,29,0.3793,29,CI,5,5,814,819
701,176,63,0.5397,0.5444,0.6911,0.2489,0.5079,0.5517,29,0.5833,12,0.5833,12,CI,5,6,877,882
752,188,63,0.6508,0.5294,0.6919,0.2469,0.619,0.6393,61,0.65,20,0.65,20,CI,5,7,940,945
802,201,63,0.619,0.627,0.6748,0.2408,0.5079,0.5952,42,0.575,40,0.575,40,CI,5,8,1003,1008
399,100,63,0.5397,0.5588,0.6903,0.2526,0.5397,0.5397,63,0.5397,63,0.5397,63,CNC,5,0,499,504
449,113,63,0.5873,0.6143,0.6945,0.2501,0.4127,0.5,30,0.5,30,0.5,30,CNC,5,1,562,567
500,125,63,0.6349,0.6303,1.3594,0.2581,0.4603,0.625,24,0.625,24,0.6471,17,CNC,5,2,625,630
550,138,63,0.4444,0.4331,1.0137,0.2986,0.5397,0.4872,39,0.4865,37,0.5625,16,CNC,5,3,688,693
600,151,63,0.4603,0.4813,0.9264,0.2604,0.5873,0.5484,31,0.5484,31,0.5484,31,CNC,5,4,751,756
651,163,63,0.6349,0.5538,1.7908,0.3393,0.2063,0.2727,22,0.2,15,0.2,15,CNC,5,5,814,819
701,176,63,0.3175,0.4201,0.7322,0.2694,0.6349,0.3333,9,,0,,0,CNC,5,6,877,882
752,188,63,0.4921,0.6119,0.8775,0.2422,0.5079,,0,,0,,0,CNC,5,7,940,945
802,201,63,0.2857,0.2531,1.5728,0.3571,0.7143,0.5,4,0.0,1,0.0,1,CNC,5,8,1003,1008
